id,descricao
1281,SE CON ANU JAN/19 DEZ/19 - Preço Fixo
1282,SE CON ANU JAN/20 DEZ/20 - Preço Fixo
1283,SE CON ANU JAN/21 DEZ/21 - Preço Fixo
1751,NE CON TRI ABR/18 JUN/18 - Preço Fixo
1752,NO CON TRI ABR/18 JUN/18 - Preço Fixo
1753,SE CON TRI ABR/18 JUN/18 - Preço Fixo
1754,SU CON TRI ABR/18 JUN/18 - Preço Fixo
1755,NE I5 TRI ABR/18 JUN/18 - Preço Fixo
1756,NO I5 TRI ABR/18 JUN/18 - Preço Fixo
1757,SE I5 TRI ABR/18 JUN/18 - Preço Fixo
1758,SU I5 TRI ABR/18 JUN/18 - Preço Fixo
1774,SE I5 ANU JAN/19 DEZ/19 - Preço Fixo
1828,NE CON MEN MAR/18 - Preço Fixo
1829,NE CON MEN MAR/18 - Spread
1830,NO CON MEN MAR/18 - Preço Fixo
1831,NO CON MEN MAR/18 - Spread
1832,SE CON MEN MAR/18 - Preço Fixo
1833,SE CON MEN MAR/18 - Spread
1834,SU CON MEN MAR/18 - Preço Fixo
1835,SU CON MEN MAR/18 - Spread
1836,NE I1 MEN MAR/18 - Preço Fixo
1837,NE I1 MEN MAR/18 - Spread
1838,NO I1 MEN MAR/18 - Preço Fixo
1839,NO I1 MEN MAR/18 - Spread
1840,SE I1 MEN MAR/18 - Preço Fixo
1841,SE I1 MEN MAR/18 - Spread
1842,SU I1 MEN MAR/18 - Preço Fixo
1843,SU I1 MEN MAR/18 - Spread
1844,NE I5 MEN MAR/18 - Preço Fixo
1845,NE I5 MEN MAR/18 - Spread
1846,NO I5 MEN MAR/18 - Preço Fixo
1847,NO I5 MEN MAR/18 - Spread
1848,SE I5 MEN MAR/18 - Preço Fixo
1849,SE I5 MEN MAR/18 - Spread
1850,SU I5 MEN MAR/18 - Preço Fixo
1851,SU I5 MEN MAR/18 - Spread
1862,SE CON OTR ABR/18 DEZ/18 - Preço Fixo
1865,NE CON TRI JUL/18 SET/18 - Preço Fixo
1866,NE I5 TRI JUL/18 SET/18 - Preço Fixo
1867,NO CON TRI JUL/18 SET/18 - Preço Fixo
1868,NO I5 TRI JUL/18 SET/18 - Preço Fixo
1869,SE CON TRI JUL/18 SET/18 - Preço Fixo
1870,SE I5 TRI JUL/18 SET/18 - Preço Fixo
1871,SU CON TRI JUL/18 SET/18 - Preço Fixo
1872,SU I5 TRI JUL/18 SET/18 - Preço Fixo
1873,NE CON TRI OUT/18 DEZ/18 - Preço Fixo
1874,NE I5 TRI OUT/18 DEZ/18 - Preço Fixo
1875,NO CON TRI OUT/18 DEZ/18 - Preço Fixo
1876,NO I5 TRI OUT/18 DEZ/18 - Preço Fixo
1877,SE CON TRI OUT/18 DEZ/18 - Preço Fixo
1878,SE I5 TRI OUT/18 DEZ/18 - Preço Fixo
1879,SU CON TRI OUT/18 DEZ/18 - Preço Fixo
1880,SU I5 TRI OUT/18 DEZ/18 - Preço Fixo
1881,NE CON SEM JUL/18 DEZ/18 - Preço Fixo
1882,NE I5 SEM JUL/18 DEZ/18 - Preço Fixo
1883,NO CON SEM JUL/18 DEZ/18 - Preço Fixo
1884,NO I5 SEM JUL/18 DEZ/18 - Preço Fixo
1885,SE CON SEM JUL/18 DEZ/18 - Preço Fixo
1886,SE I5 SEM JUL/18 DEZ/18 - Preço Fixo
1887,SU CON SEM JUL/18 DEZ/18 - Preço Fixo
1888,SU I5 SEM JUL/18 DEZ/18 - Preço Fixo
1895,SE CON MEN ABR/18 - Preço Fixo
1896,SE CON MEN ABR/18 - Spread
1897,SE CON MEN MAI/18 - Preço Fixo
1898,SE CON MEN MAI/18 - Spread
1899,SE CON MEN JUN/18 - Preço Fixo
1900,SE CON MEN JUN/18 - Spread
1903,SE I0 ANU JAN/18 DEZ/18 - Spread
1904,SU I0 ANU JAN/18 DEZ/18 - Spread
1905,SE I0 SEM JAN/18 JUN/18 - Spread
1906,SU I0 SEM JAN/18 JUN/18 - Spread
1907,SE I0 SEM JUL/18 DEZ/18 - Spread
1908,SU I0 SEM JUL/18 DEZ/18 - Spread
1909,SE I0 TRI JAN/18 MAR/18 - Spread
1910,SU I0 TRI JAN/18 MAR/18 - Spread
1911,SE I0 TRI ABR/18 JUN/18 - Spread
1912,SU I0 TRI ABR/18 JUN/18 - Spread
1913,SE I0 TRI JUL/18 SET/18 - Spread
1914,SU I0 TRI JUL/18 SET/18 - Spread
1915,SE I0 TRI OUT/18 DEZ/18 - Spread
1916,SU I0 TRI OUT/18 DEZ/18 - Spread
1921,SE I0 MEN MAR/18 - Spread
1922,SU I0 MEN MAR/18 - Spread
1923,SE I0 MEN ABR/18 - Spread
1924,SU I0 MEN ABR/18 - Spread
1925,SE I0 MEN MAI/18 - Spread
1926,SU I0 MEN MAI/18 - Spread
1927,SE I0 MEN JUN/18 - Spread
1928,SU I0 MEN JUN/18 - Spread
1929,SE I5 OTR ABR/18 DEZ/18 - Preço Fixo
1967,SE I5 MEN ABR/18 - Preço Fixo
1968,SE I5 MEN ABR/18 - Spread
1978,NE I5 MEN ABR/18 - Preço Fixo
2014,SU CON MEN ABR/18 - Preço Fixo
2015,SU CON MEN ABR/18 - Spread
2016,NE CON MEN ABR/18 - Preço Fixo
2017,NE CON MEN ABR/18 - Spread
2018,NO CON MEN ABR/18 - Preço Fixo
2019,NO CON MEN ABR/18 - Spread
2020,SU I5 MEN ABR/18 - Preço Fixo
2021,SU I5 MEN ABR/18 - Spread
2022,NO I5 MEN ABR/18 - Preço Fixo
2023,NO I5 MEN ABR/18 - Spread
2024,SU I1 MEN ABR/18 - Preço Fixo
2025,SU I1 MEN ABR/18 - Spread
2026,NE I1 MEN ABR/18 - Preço Fixo
2027,NE I1 MEN ABR/18 - Spread
2028,NO I1 MEN ABR/18 - Preço Fixo
2029,NO I1 MEN ABR/18 - Spread
2030,SE I1 MEN ABR/18 - Preço Fixo
2031,SE I1 MEN ABR/18 - Spread
2037,SE CON BIM MAI/18 JUN/18 - Preço Fixo
2038,SE CON OTR MAR/18 DEZ/18 - Preço Fixo
2039,SE I5 OTR MAR/18 DEZ/18 - Preço Fixo
2040,SE CON QUA MAR/18 JUN/18 - Preço Fixo
2041,SE I5 QUA MAR/18 JUN/18 - Preço Fixo
2042,SE CON OTR MAI/18 DEZ/18 - Preço Fixo
